Sample_name,Species,Accession,Sp_ac.x,Rep.x,Fruit_num,Clr_cat,Phylo_pos,Ripeness,Include_in_analysis,Date_collected,Diameter_mm,Length_mm,Diam_lgth_ratio,Fresh_weight_grams,Seed_count,Tomato Pericarp Area Ratio_inside,Average Luminosity_outside,Average Hue_outside,Average Chroma_outside,Sample,Sp_ac.y,Rep.y,Glucose_rep_avg,Fructose_rep_avg,Sucrose_rep_avg,Total_sugars,Citric_avg,Malic_avg,Total_acids,Sp_ac_Rep,X1,species_name,species_code,clr_cat,lab_id,accession,tgrc_id,jake_farm_2019_grown,compatability,country,dept_province,pop_hamid,lat,lon,elevation_m,climatic_group,Temp,Temp_seasonality,Temp_warmest_q,Temp_coldest_q,Prec,Prec_seasonality,Prec_wettest_q,Prec_driest_q
SA-05-A-02,SA,05,SA-05,A,02,grn,6,ripe,include,2020-07-30,12.09,10.67,1.13,0.8442,3,0.2279,100.4263,94.7401,11.0804,SA-05-A-02,SA-05,A,8.17115,12.8916,15.226099999999999,36.28885,1.9957,3.6947,5.6904,SA-05-A,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-05-A-03,SA,05,SA-05,A,03,grn,6,ripe,include,2020-07-30,13.9,10.95,1.27,1.1097,3,0.2617,103.3959,103.7751,13.3,SA-05-A-03,SA-05,A,5.114,7.8477500000000004,7.3174,20.27915,3.8272,3.6181,7.4453,SA-05-A,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-05-B-03,SA,05,SA-05,B,03,grn,6,ripe,include,2020-07-22,15.17,13.02,1.17,1.5147,45,0.2759,100.7136,105.3654,17.1776,SA-05-B-03,SA-05,B,3.4531,5.5625,20.348,29.363599999999998,1.8943,3.6839,5.5782,SA-05-B,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-05-B-04,SA,05,SA-05,B,04,grn,6,ripe,include,2020-07-22,13.11,11.37,1.15,0.9383,32,0.2777,97.2537,106.6674,18.5051,SA-05-B-04,SA-05,B,4.23355,5.8224,29.1082,39.16415,0.828,4.8815,5.7095,SA-05-B,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-05-C-01,SA,05,SA-05,C,01,grn,6,ripe,include,2020-07-10,15.31,13.28,1.15,1.5782,30,0.2759,97.482,100.2206,14.6558,SA-05-C-01,SA-05,C,2.0824,4.48365,11.81665,18.3827,1.919,3.7333,5.6523,SA-05-C,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-05-C-05,SA,05,SA-05,C,05,grn,6,ripe,include,2020-07-14,14.41,11.86,1.22,1.2439,43,0.2774,90.0889,105.068,12.9371,SA-05-C-05,SA-05,C,1.29365,2.3394500000000003,3.6383,7.2714,3.2239,6.8628,10.0867,SA-05-C,1,S. arcanum,SA,grn,SA5,SA-05,LA2917,NA,UNKNOWN,Peru,Ancash,NA,-9.3,-77.016667,2430,NA,154,548,159,145,708,61,305,33
SA-09-A-03,SA,09,SA-09,A,03,grn,6,ripe,include,2020-07-08,19.45,16.86,1.15,3.2994,63,0.4163,104.2523,81.1587,6.8566,SA-09-A-03,SA-09,A,0.5575,8.1441,31.22255,39.92415,2.2149,3.7468,5.9617000000000004,SA-09-A,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-09-A-05,SA,09,SA-09,A,05,grn,6,ripe,include,2020-07-30,24.04,19.67,1.22,6.0954,143,0.2705,89.7507,84.8036,12.1192,SA-09-A-05,SA-09,A,0.34215,8.53125,28.328249999999997,37.20165,0.5058,3.8488,4.3546000000000005,SA-09-A,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-09-B-04,SA,09,SA-09,B,04,grn,6,ripe,include,2020-07-27,20.71,17.08,1.21,3.6865,85,0.3216,104.9266,83.1593,9.9159,SA-09-B-04,SA-09,B,0.33209999999999995,5.674799999999999,57.2636,63.2705,1.1832,2.906,4.0892,SA-09-B,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-09-B-05,SA,09,SA-09,B,05,grn,6,ripe,include,2020-07-27,21.19,19.06,1.11,4.4924,89,0.3854,103.0622,86.2795,10.7918,SA-09-B-05,SA-09,B,0.8480000000000001,4.80455,66.83745,72.49000000000001,1.3059,1.6566,2.9625000000000004,SA-09-B,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-09-C-01,SA,09,SA-09,C,01,grn,6,ripe,include,2020-06-23,21.14,19.05,1.11,4.5133,140,0.3379,94.1464,99.6557,13.3505,SA-09-C-01,SA-09,C,1.0606,8.725200000000001,55.42645,65.21225000000001,3.0049,2.3805,5.385400000000001,SA-09-C,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-09-C-05,SA,09,SA-09,C,05,grn,6,ripe,include,2020-08-07,17.49,14.76,1.18,2.3205,166,0.2742,105.2711,87.1498,10.585,SA-09-C-05,SA-09,C,0.82965,10.79885,6.07465,17.70315,10.2973,8.1434,18.4407,SA-09-C,2,S. arcanum,SA,grn,SA9,SA-09,LA2153,NA,SI,Peru,Cajamarca,NA,-7.255833,-78.485,2800,NA,112,713,119,101,917,59,395,51
SA-18-A-04,SA,18,SA-18,A,04,grn,6,ripe,include,2020-08-05,15.55,14.47,1.07,1.8631,68,0.1342,77.6323,109.3755,21.0737,SA-18-A-04,SA-18,A,3.9767,9.0954,34.7502,47.8223,5.3967,5.5077,10.904399999999999,SA-18-A,3,S. arcanum,SA,grn,SA18,SA-18,LA2157,NA,SC,Peru,Cajamarca,NA,-6.505833,-78.808889,1600,NA,157,589,163,148,956,42,354,100
